=> 2025-04-22 23:26:00 - SELL trade ouvert (HZURu6wY)- entrée : 1.14156, TP : N/A, SL : N/A
<= 2025-04-23 00:11:00 - Trade HZURu6wY fermé (STRAT hit à 1.13680), Dernier TP : N/A, profit 47.6
=> 2025-04-23 00:11:00 - BUY trade ouvert (mBnmb6ZR)- entrée : 1.13700, TP : N/A, SL : N/A
<= 2025-04-23 00:16:00 - Trade mBnmb6ZR fermé (STRAT hit à 1.13475), Dernier TP : N/A, profit -22.5
=> 2025-04-23 00:16:00 - SELL trade ouvert (xBzkmR44)- entrée : 1.13450, TP : N/A, SL : N/A
<= 2025-04-23 00:41:00 - Trade xBzkmR44 fermé (STRAT hit à 1.13311), Dernier TP : N/A, profit 13.9
=> 2025-04-23 01:51:00 - SELL trade ouvert (GmtjiUUC)- entrée : 1.13492, TP : N/A, SL : N/A
<= 2025-04-23 02:00:00 - Trade GmtjiUUC fermé (STRAT hit à 1.13602), Dernier TP : N/A, profit -11.0
=> 2025-04-23 02:00:00 - BUY trade ouvert (vG8yEMju)- entrée : 1.13611, TP : N/A, SL : N/A
<= 2025-04-23 03:07:00 - Trade vG8yEMju fermé (STRAT hit à 1.13896), Dernier TP : N/A, profit 28.5
=> 2025-04-23 03:07:00 - SELL trade ouvert (OGPmLuo6)- entrée : 1.13890, TP : N/A, SL : N/A
<= 2025-04-23 03:16:00 - Trade OGPmLuo6 fermé (STRAT hit à 1.13937), Dernier TP : N/A, profit -4.7
=> 2025-04-23 03:16:00 - BUY trade ouvert (hb4zKRuB)- entrée : 1.13946, TP : N/A, SL : N/A
<= 2025-04-23 03:20:00 - Trade hb4zKRuB fermé (STRAT hit à 1.13872), Dernier TP : N/A, profit -7.4
=> 2025-04-23 03:20:00 - SELL trade ouvert (nqC4x2ff)- entrée : 1.13863, TP : N/A, SL : N/A
<= 2025-04-23 03:22:00 - Trade nqC4x2ff fermé (STRAT hit à 1.13910), Dernier TP : N/A, profit -4.7
=> 2025-04-23 03:22:00 - BUY trade ouvert (X4aEeVuM)- entrée : 1.13919, TP : N/A, SL : N/A
<= 2025-04-23 03:59:00 - Trade X4aEeVuM fermé (STRAT hit à 1.14075), Dernier TP : N/A, profit 15.6
=> 2025-04-23 03:59:00 - SELL trade ouvert (hLksHygm)- entrée : 1.14069, TP : N/A, SL : N/A
<= 2025-04-23 04:38:00 - Trade hLksHygm fermé (STRAT hit à 1.13989), Dernier TP : N/A, profit 8.0
=> 2025-04-23 04:38:00 - BUY trade ouvert (CQTHIChF)- entrée : 1.14006, TP : N/A, SL : N/A
<= 2025-04-23 05:04:00 - Trade CQTHIChF fermé (STRAT hit à 1.14005), Dernier TP : N/A, profit -0.1
=> 2025-04-23 05:04:00 - SELL trade ouvert (yYHK01OB)- entrée : 1.13996, TP : N/A, SL : N/A
<= 2025-04-23 05:06:00 - Trade yYHK01OB fermé (STRAT hit à 1.14032), Dernier TP : N/A, profit -3.6
=> 2025-04-23 05:47:00 - BUY trade ouvert (71rGpWAw)- entrée : 1.13831, TP : N/A, SL : N/A
<= 2025-04-23 05:57:00 - Trade 71rGpWAw fermé (STRAT hit à 1.13824), Dernier TP : N/A, profit -0.7
=> 2025-04-23 05:58:00 - SELL trade ouvert (LPyTFsLn)- entrée : 1.13805, TP : N/A, SL : N/A
<= 2025-04-23 06:17:00 - Trade LPyTFsLn fermé (STRAT hit à 1.13778), Dernier TP : N/A, profit 2.7
=> 2025-04-23 06:17:00 - BUY trade ouvert (piWfWh73)- entrée : 1.13787, TP : N/A, SL : N/A
<= 2025-04-23 07:05:00 - Trade piWfWh73 fermé (STRAT hit à 1.13889), Dernier TP : N/A, profit 10.2
=> 2025-04-23 07:26:00 - SELL trade ouvert (jzS6Gdfg)- entrée : 1.13924, TP : N/A, SL : N/A
<= 2025-04-23 07:34:00 - Trade jzS6Gdfg fermé (STRAT hit à 1.13936), Dernier TP : N/A, profit -1.2
=> 2025-04-23 08:02:00 - BUY trade ouvert (bdAXsg0h)- entrée : 1.13837, TP : N/A, SL : N/A
<= 2025-04-23 08:22:00 - Trade bdAXsg0h fermé (STRAT hit à 1.13890), Dernier TP : N/A, profit 5.3
=> 2025-04-23 08:22:00 - SELL trade ouvert (kJwReK1t)- entrée : 1.13881, TP : N/A, SL : N/A
<= 2025-04-23 08:44:00 - Trade kJwReK1t fermé (STRAT hit à 1.13852), Dernier TP : N/A, profit 2.9
=> 2025-04-23 08:44:00 - BUY trade ouvert (C0ouLy04)- entrée : 1.13858, TP : N/A, SL : N/A
<= 2025-04-23 08:55:00 - Trade C0ouLy04 fermé (STRAT hit à 1.13815), Dernier TP : N/A, profit -4.3
=> 2025-04-23 08:55:00 - SELL trade ouvert (wd9ebTwB)- entrée : 1.13806, TP : N/A, SL : N/A
<= 2025-04-23 09:00:00 - Trade wd9ebTwB fermé (STRAT hit à 1.13872), Dernier TP : N/A, profit -6.6
=> 2025-04-23 09:00:00 - BUY trade ouvert (cu4D7uP6)- entrée : 1.13881, TP : N/A, SL : N/A
<= 2025-04-23 09:02:00 - Trade cu4D7uP6 fermé (STRAT hit à 1.13811), Dernier TP : N/A, profit -7.0
=> 2025-04-23 09:02:00 - SELL trade ouvert (BTypWhcz)- entrée : 1.13802, TP : N/A, SL : N/A
<= 2025-04-23 09:03:00 - Trade BTypWhcz fermé (STRAT hit à 1.13869), Dernier TP : N/A, profit -6.7
=> 2025-04-23 09:03:00 - BUY trade ouvert (PFEbeJfb)- entrée : 1.13878, TP : N/A, SL : N/A
<= 2025-04-23 09:08:00 - Trade PFEbeJfb fermé (STRAT hit à 1.13835), Dernier TP : N/A, profit -4.3
=> 2025-04-23 09:08:00 - SELL trade ouvert (6E7fPiW1)- entrée : 1.13826, TP : N/A, SL : N/A
