Date,Time,Open,High,Low,Close,Volume
2025-04-18,13:56:00,1.1382,1.13822,1.1382,1.13822,4
2025-04-18,13:57:00,,,,,2
2025-04-18,13:58:00,,,,,6
2025-04-18,14:00:00,1.13821,1.13822,1.13821,1.13822,2
2025-04-18,14:01:00,,,,,1
2025-04-18,14:02:00,1.13824,1.1383,1.13823,1.1383,7
2025-04-18,14:03:00,1.13833,1.13833,1.13833,1.13833,1
2025-04-18,14:04:00,1.13825,1.13876,1.13824,1.13866,30
2025-04-18,14:05:00,1.13868,1.13868,1.13863,1.13863,9
2025-04-18,14:06:00,1.1386,1.13867,1.13855,1.13855,11
2025-04-18,14:07:00,1.13857,1.13862,1.13854,1.13854,4
2025-04-18,14:08:00,1.1384,1.1384,1.1384,1.1384,1
2025-04-18,14:09:00,1.13842,1.13842,1.1384,1.1384,11
2025-04-18,14:10:00,,,,,11
2025-04-18,14:11:00,1.1389,1.1389,1.1384,1.1384,14
2025-04-18,14:12:00,1.13879,1.13882,1.1384,1.1384,60
2025-04-18,14:13:00,1.13877,1.13882,1.1384,1.1384,50
2025-04-18,14:14:00,1.13879,1.13883,1.1384,1.1384,24
2025-04-18,14:15:00,1.13883,1.13885,1.1384,1.1384,13
2025-04-18,14:16:00,1.13883,1.13883,1.13833,1.13833,7
2025-04-18,14:17:00,1.13837,1.13837,1.13837,1.13837,4
2025-04-18,14:18:00,,,,,1
2025-04-18,14:19:00,,,,,5
2025-04-18,14:20:00,1.1384,1.13843,1.1384,1.13843,4
2025-04-18,14:21:00,1.13877,1.13879,1.13843,1.13878,35
2025-04-18,14:22:00,1.13876,1.13882,1.13874,1.13881,183
2025-04-18,14:23:00,1.1388,1.13884,1.13843,1.13882,133
2025-04-18,14:24:00,1.13881,1.13883,1.13843,1.13843,77
2025-04-18,14:25:00,1.13876,1.13881,1.13823,1.1385,8
2025-04-18,14:26:00,,,,,2
2025-04-18,14:27:00,1.13853,1.13858,1.13853,1.13858,4
2025-04-18,14:29:00,1.13853,1.13875,1.13853,1.13875,13
2025-04-18,14:30:00,1.1388,1.1388,1.1388,1.1388,2
2025-04-18,14:31:00,1.13874,1.13874,1.13874,1.13874,2
2025-04-18,14:32:00,,,,,10
2025-04-18,14:33:00,1.13869,1.13869,1.13869,1.13869,1
2025-04-18,14:34:00,1.13872,1.13872,1.13872,1.13872,1
2025-04-18,14:35:00,1.13869,1.13881,1.13869,1.13875,37
2025-04-18,14:36:00,1.13872,1.13877,1.13872,1.13873,13
2025-04-18,14:37:00,1.13869,1.13872,1.13869,1.13872,7
2025-04-18,14:38:00,1.13867,1.13867,1.13867,1.13867,5
2025-04-18,14:39:00,1.13864,1.13864,1.13856,1.13856,14
2025-04-18,14:40:00,1.13859,1.13859,1.13859,1.13859,32
2025-04-18,14:41:00,1.13861,1.13862,1.13857,1.13858,17
2025-04-18,14:42:00,1.1385,1.1385,1.1385,1.1385,5
2025-04-18,14:43:00,1.13837,1.13837,1.13837,1.13837,2
2025-04-18,14:44:00,,,,,2
2025-04-18,14:47:00,1.13834,1.1384,1.13831,1.13835,27
2025-04-18,14:48:00,,,,,6
2025-04-18,14:49:00,1.13838,1.13841,1.13838,1.13841,4
2025-04-18,14:50:00,,,,,3
